,Values
NAV,"9,770.22"
Open Price,"9,765.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,11.0 / 125.9
Day Range,"9,760.00 – 9,765.00"
Year Range,"8,220.00 – 10,320.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,1.090%
Total Assets,4.9 Bil
