,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-79.55,79.55,0.00,5.39,—
Bonds,6.24,0.00,6.24,12.48,—
Other,19.76,0.00,19.76,19.44,—
Cash,153.55,56.51,210.05,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
