,Values
NAV,"11,866.03"
Open Price,"11,840.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,970.0 / 5,021.3"
Day Range,"11,450.00 – 11,840.00"
Year Range,"10,130.00 – 12,440.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.710%
Total Assets,4.7 Bil
