Sectors,Fund %,Category %
Basic Materials,3.30,8.70
Consumer Cyclical,24.47,13.65
Financial Services,5.88,11.56
Real Estate,0.00,0.29
Communication Services,1.66,2.34
Energy,1.94,1.96
Industrials,10.24,10.46
Technology,35.93,38.20
Consumer Defensive,11.93,6.64
Healthcare,2.69,4.97
Utilities,1.96,1.23
