,Fund,Cat. Average,Index
Price/Earnings ,8.73,11.02,12.13
Price/Book ,0.92,0.84,0.86
Price/Sales ,0.56,0.53,0.65
Price/Cash Flow ,3.84,3.46,3.66
Dividend Yield % ,2.83,3.08,3.48
Long-Term Earnings % ,14.77,10.07,3.69
Historical Earnings % ,10.33,15.26,14.88
Sales Growth % ,3.28,11.25,4.89
Cash-Flow Growth % ,9.12,16.83,15.05
Book-Value Growth % ,6.93,10.86,8.56
