,Values
NAV,"10,750.48"
Open Price,"10,720.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"27,860.0 / 18,341.2"
Day Range,"10,695.00 – 10,720.00"
Year Range,"10,490.00 – 12,840.00"
SEC Yield ,—
12-Month Yield ,1.71%
Premium ,—
Expense Ratio,0.310%
Total Assets,11.8 Bil
