,Values
NAV,"7,946.24"
Open Price,"7,875.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"95.0 / 5,638.9"
Day Range,"7,840.00 – 7,890.00"
Year Range,"7,840.00 – 9,415.00"
SEC Yield ,—
12-Month Yield ,2.04%
Premium ,—
Expense Ratio,0.370%
Total Assets,8.3 Bil
