,Fund,Cat. Average,Index
Price/Earnings ,7.23,11.02,12.13
Price/Book ,0.70,0.84,0.86
Price/Sales ,0.38,0.53,0.65
Price/Cash Flow ,2.88,3.46,3.66
Dividend Yield % ,3.15,3.08,3.48
Long-Term Earnings % ,12.47,10.07,3.69
Historical Earnings % ,9.53,15.26,14.88
Sales Growth % ,3.24,11.25,4.89
Cash-Flow Growth % ,0.89,16.83,15.05
Book-Value Growth % ,5.77,10.86,8.56
