,Fund,Cat. Average,Index
Price/Earnings ,12.12,11.02,12.13
Price/Book ,1.61,0.84,0.86
Price/Sales ,0.83,0.53,0.65
Price/Cash Flow ,5.88,3.46,3.66
Dividend Yield % ,1.66,3.08,3.48
Long-Term Earnings % ,27.06,10.07,3.69
Historical Earnings % ,33.06,15.26,14.88
Sales Growth % ,9.98,11.25,4.89
Cash-Flow Growth % ,20.92,16.83,15.05
Book-Value Growth % ,7.91,10.86,8.56
