Sectors,Fund %,Category %
Basic Materials,9.36,8.70
Consumer Cyclical,37.86,13.65
Financial Services,0.00,11.56
Real Estate,0.00,0.29
Communication Services,1.80,2.34
Energy,3.62,1.96
Industrials,1.24,10.46
Technology,16.52,38.20
Consumer Defensive,23.49,6.64
Healthcare,6.11,4.97
Utilities,0.00,1.23
