,Values
Sustainability Rate,Low
Percent Rank in Global Category,96%
Historical Sustainability Score,36.32
Global Category,Korea Equity
Portfolio ESG,37.63
Controversy Deduction,0.85
Sustainability Score,36.78
Sustainability Mandate,No
