,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.41,-2.38,-8.65,-14.60,-9.43,-23.52,-4.66,—,—,—,—
Total Return % (NAV),-0.43,0.40,-8.98,-12.40,-7.99,-21.12,-4.45,—,—,—,-5.04
+/- Category (NAV),-1.20,-1.08,-1.88,-5.62,-3.12,-8.23,-3.41,—,—,—,—
+/- Index (NAV),-0.43,-0.85,-2.78,-8.69,-8.48,-11.33,-8.82,—,—,—,—
