,Values
NAV,"8,512.59"
Open Price,"8,360.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"35,979.0 / 26,265.7"
Day Range,"8,335.00 – 8,410.00"
Year Range,"8,275.00 – 12,010.00"
SEC Yield ,—
12-Month Yield ,0.84%
Premium ,—
Expense Ratio,0.340%
Total Assets,16.2 Bil
