,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.92,-2.12,-7.87,-22.69,-23.06,-30.74,-6.24,—,—,—,—
Total Return % (NAV),-0.64,-8.03,-12.85,-28.20,-29.22,-35.82,-7.99,—,—,—,-19.38
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
