,Values
NAV,"4,570.41"
Open Price,"4,930.00"
Bid / Ask / Spread,"4,500.00 / 4,950.00 / 9.52%"
Volume / Avg,"10,204.0 / 14,857.8"
Day Range,"4,930.00 – 4,985.00"
Year Range,"4,730.00 – 7,565.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.740%
Total Assets,1.8 Bil
