Sectors,Fund %,Category %
Basic Materials,7.53,8.70
Consumer Cyclical,10.27,13.65
Financial Services,11.57,11.56
Real Estate,0.00,0.29
Communication Services,2.79,2.34
Energy,1.92,1.96
Industrials,9.02,10.46
Technology,44.38,38.20
Consumer Defensive,6.32,6.64
Healthcare,4.87,4.97
Utilities,1.31,1.23
