,Values
NAV,"11,399.53"
Open Price,"11,395.00"
Bid / Ask / Spread,"11,375.00 / 11,390.00 / 0.13%"
Volume / Avg,"313,809.0 / 19,710.6"
Day Range,"11,285.00 – 11,395.00"
Year Range,"11,245.00 – 13,360.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.400%
Total Assets,5.7 Bil
