,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,1.75,-5.12,1.37,9.53,22.91,-14.15,-5.44
Fund (NAV),—,—,—,—,1.41,-5.69,1.71,10.27,25.03,-15.95,-4.32
+/ Category (NAV),—,—,—,—,0.31,-0.61,-2.30,9.58,2.56,0.73,0.46
+/- Index (Price),—,—,—,—,-0.77,2.04,4.19,-4.30,-9.32,3.48,-6.10
Percentile Rank,—,—,—,—,44,43,54,4,37,31,52
# of Funds in Category,—,—,—,"1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,325"
