,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-199.88,199.88,0.00,5.39,—
Bonds,2.84,0.00,2.84,12.48,—
Other,0.00,0.00,0.00,19.44,—
Cash,297.04,0.45,297.50,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
