,Values
NAV,"8,014.51"
Open Price,"8,020.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"118,762.0 / 383,555.2"
Day Range,"7,990.00 – 8,060.00"
Year Range,"7,880.00 – 9,305.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.100%
Total Assets,926.9 Bil
