,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.50,-0.69,-7.33,-4.44,-2.87,-10.01,—,—,—,—,—
Total Return % (NAV),0.80,1.14,-6.53,-4.81,-2.18,-10.23,—,—,—,—,-12.12
+/- Category (NAV),0.04,-0.34,0.57,1.97,2.69,2.66,—,—,—,—,—
+/- Index (NAV),0.80,-0.11,-0.33,-1.10,-2.68,-0.45,—,—,—,—,—
