,Fund,Cat. Average,Index
Price/Earnings ,9.09,11.02,12.13
Price/Book ,0.89,0.84,0.86
Price/Sales ,0.59,0.53,0.65
Price/Cash Flow ,3.67,3.46,3.66
Dividend Yield % ,3.01,3.08,3.48
Long-Term Earnings % ,13.62,10.07,3.69
Historical Earnings % ,13.58,15.26,14.88
Sales Growth % ,2.37,11.25,4.89
Cash-Flow Growth % ,9.17,16.83,15.05
Book-Value Growth % ,6.35,10.86,8.56
