,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-17.18,-2.87
Fund (NAV),—,—,—,—,—,—,—,—,—,-17.27,-2.18
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-0.59,2.69
+/- Index (Price),—,—,—,—,—,—,—,—,—,0.45,-3.36
Percentile Rank,—,—,—,—,—,—,—,—,—,48,15
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015","2,284"
