,Values
NAV,"11,529.42"
Open Price,"11,225.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"17,066.0 / 49,256.4"
Day Range,"11,200.00 – 11,410.00"
Year Range,"11,145.00 – 16,325.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.480%
Total Assets,27.7 Bil
