,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.94,-0.79,-14.50,-11.91,-8.17,—,—,—,—,—,—
Total Return % (NAV),0.19,-1.25,-12.78,-12.14,-6.28,—,—,—,—,—,-22.90
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
