,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,199.82,0.00,199.82,620.20,—
Bonds,0.45,0.00,0.45,8.78,—
Other,0.03,0.00,0.03,3.73,—
Cash,-100.30,174.51,74.20,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
