,Values
NAV,"6,815.27"
Open Price,"6,730.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,805.0 / 623.1"
Day Range,"6,730.00 – 6,870.00"
Year Range,"5,185.00 – 7,975.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.620%
Total Assets,4.1 Bil
