,Fund,Category,Index
U.S.Stock,0.00,84.55,98.92
Non-U.S.Stock,0.00,1.41,1.08
Bonds,0.00,1.68,0.00
Other,100.00,0.57,0.00
Cash,0.00,77.20,0.00
Not Classified,0.00,0.57,0.00
