,Values
NAV,"12,846.14"
Open Price,"12,785.00"
Bid / Ask / Spread,"0.00 / 14,090.00 / 0.00%"
Volume / Avg,226.0 / 686.5
Day Range,"12,785.00 – 12,890.00"
Year Range,"11,200.00 – 13,575.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.480%
Total Assets,6.8 Bil
