,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.24,0.87,-4.17,-2.41,9.83,-2.00,5.11,—,—,—,—
Total Return % (NAV),-0.81,-1.17,-2.95,-0.45,10.29,-1.35,5.36,—,—,—,5.50
+/- Category (NAV),-0.54,-0.74,-1.75,-2.24,-9.19,-4.76,-4.50,—,—,—,—
+/- Index (NAV),0.42,-2.59,1.26,-0.75,-6.37,-4.41,-6.41,—,—,—,—
