,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,16.56,13.02,-9.41,8.32
Fund (NAV),—,—,—,—,—,—,—,17.06,12.48,-8.68,10.19
+/ Category (NAV),—,—,—,—,—,—,—,10.85,-1.93,-0.90,-9.32
+/- Index (Price),—,—,—,—,—,—,—,4.12,-8.46,-4.36,-6.83
Percentile Rank,—,—,—,—,—,—,—,1,72,73,97
# of Funds in Category,—,—,—,—,—,—,120,102,155,199,262
