,Fund,Cat. Average,Index
Price/Earnings ,—,20.76,18.36
Price/Book ,—,4.02,2.98
Price/Sales ,—,2.44,2.02
Price/Cash Flow ,—,13.01,9.21
Dividend Yield % ,—,1.25,1.92
Long-Term Earnings % ,—,11.86,9.81
Historical Earnings % ,—,18.59,12.13
Sales Growth % ,—,7.55,7.07
Cash-Flow Growth % ,—,14.90,12.81
Book-Value Growth % ,—,5.98,4.65
