,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),1.42,8.16,16.81,38.02,36.01,47.61,1.98,—,—,—,—
Total Return % (NAV),1.12,9.65,12.96,34.30,33.68,42.52,0.65,—,—,—,9.85
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
