,Fund,Category,Index
U.S.Stock,0.00,0.00,—
Non-U.S.Stock,0.00,0.68,—
Bonds,0.00,41.45,—
Other,100.00,73.73,—
Cash,0.00,156.77,—
Not Classified,0.00,0.09,—
