,Values
NAV,"14,495.43"
Open Price,"14,910.00"
Bid / Ask / Spread,"14,650.00 / 14,815.00 / 1.12%"
Volume / Avg,"91,305.0 / 65,231.1"
Day Range,"14,820.00 – 14,970.00"
Year Range,"9,515.00 – 14,975.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.570%
Total Assets,21.7 Bil
