,Fund,Cat. Average,Index
Price/Earnings ,6.65,11.02,12.13
Price/Book ,0.80,0.84,0.86
Price/Sales ,0.36,0.53,0.65
Price/Cash Flow ,3.24,3.46,3.66
Dividend Yield % ,1.74,3.08,3.48
Long-Term Earnings % ,21.02,10.07,3.69
Historical Earnings % ,-1.53,15.26,14.88
Sales Growth % ,-2.61,11.25,4.89
Cash-Flow Growth % ,3.91,16.83,15.05
Book-Value Growth % ,3.10,10.86,8.56
