,Values
NAV,"8,058.30"
Open Price,"8,055.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,910.0 / 92.1
Day Range,"8,030.00 – 8,065.00"
Year Range,"7,865.00 – 9,820.00"
SEC Yield ,—
12-Month Yield ,1.19%
Premium ,—
Expense Ratio,0.510%
Total Assets,4.8 Bil
