,Values
NAV,"10,016.96"
Open Price,"9,885.00"
Bid / Ask / Spread,"8,915.00 / 10,880.00 / 19.85%"
Volume / Avg,"2,254.0 / 9,266.3"
Day Range,"9,770.00 – 9,910.00"
Year Range,"9,620.00 – 12,805.00"
SEC Yield ,—
12-Month Yield ,2.37%
Premium ,—
Expense Ratio,0.470%
Total Assets,9.8 Bil
