Sectors,Fund %,Category %
Basic Materials,57.31,41.47
Consumer Cyclical,3.39,9.12
Financial Services,0.00,3.43
Real Estate,0.00,0.11
Communication Services,0.00,1.43
Energy,29.89,2.87
Industrials,9.08,19.64
Technology,0.34,14.78
Consumer Defensive,0.00,3.91
Healthcare,0.00,2.14
Utilities,0.00,1.10
