,Fund,Cat. Average,Index
Price/Earnings ,9.66,13.31,—
Price/Book ,0.86,0.99,—
Price/Sales ,0.38,0.52,—
Price/Cash Flow ,6.34,3.85,—
Dividend Yield % ,2.97,2.16,—
Long-Term Earnings % ,17.82,15.19,—
Historical Earnings % ,3.34,35.81,—
Sales Growth % ,6.34,2.99,—
Cash-Flow Growth % ,-12.33,2.81,—
Book-Value Growth % ,7.58,1.55,—
