,Values
NAV,"6,540.62"
Open Price,"6,565.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"42.0 / 1,414.3"
Day Range,"6,510.00 – 6,565.00"
Year Range,"6,420.00 – 9,030.00"
SEC Yield ,—
12-Month Yield ,1.64%
Premium ,—
Expense Ratio,0.380%
Total Assets,5.2 Bil
