Sectors,Fund %,Category %
Basic Materials,2.99,8.70
Consumer Cyclical,7.01,13.65
Financial Services,13.89,11.56
Real Estate,0.00,0.29
Communication Services,0.00,2.34
Energy,4.83,1.96
Industrials,24.45,10.46
Technology,14.36,38.20
Consumer Defensive,17.04,6.64
Healthcare,15.43,4.97
Utilities,0.00,1.23
