,Values
NAV,"11,960.87"
Open Price,"12,095.00"
Bid / Ask / Spread,"10,785.00 / 11,970.00 / 10.42%"
Volume / Avg,"75,242.0 / 41,782.7"
Day Range,"11,885.00 – 12,095.00"
Year Range,"9,850.00 – 12,095.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.410%
Total Assets,25.1 Bil
