,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,133.21,0.00,133.21,86.29,—
Other,0.00,0.00,0.00,3.19,—
Cash,-33.21,76.04,42.83,21.37,—
Not Classified,0.00,0.00,0.00,0.94,—
