,Values
NAV,"9,660.26"
Open Price,"9,560.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"7,663.0 / 11,123.6"
Day Range,"9,455.00 – 9,575.00"
Year Range,"9,325.00 – 13,670.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.480%
Total Assets,23.4 Bil
