,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.94,-1.04,-14.75,-9.66,-7.74,-23.14,—,—,—,—,—
Total Return % (NAV),2.42,1.74,-13.07,-10.26,-6.65,-23.84,—,—,—,—,-1.25
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
