,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,200.07,0.00,200.07,620.20,—
Bonds,1.77,0.00,1.77,8.78,—
Other,0.00,0.00,0.00,3.73,—
Cash,-101.85,201.90,100.05,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
