,Values
NAV,"7,795.35"
Open Price,"7,705.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,5.0 / 31.3
Day Range,"7,705.00 – 7,755.00"
Year Range,"7,670.00 – 9,720.00"
SEC Yield ,—
12-Month Yield ,1.16%
Premium ,—
Expense Ratio,0.360%
Total Assets,5.8 Bil
