,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,-5.50
Fund (NAV),—,—,—,—,—,—,—,—,—,—,-4.94
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,-0.07
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,-5.99
Percentile Rank,—,—,—,—,—,—,—,—,—,—,58
# of Funds in Category,—,—,—,—,—,—,—,—,—,"2,015","2,284"
