,Values
NAV,"148,609.67"
Open Price,"149,630.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,209.0 / 1,936.6"
Day Range,"149,630.00 – 150,665.00"
Year Range,"122,175.00 – 150,665.00"
SEC Yield ,—
12-Month Yield ,1.87%
Premium ,—
Expense Ratio,0.330%
Total Assets,14.9 Bil
