,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,197.33,0.00,197.33,86.29,—
Other,0.00,0.00,0.00,3.19,—
Cash,-97.33,100.25,2.91,21.37,—
Not Classified,0.00,0.00,0.00,0.94,—
