,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),1.02,2.01,6.81,11.15,14.20,24.95,3.28,8.57,—,—,—
Total Return % (NAV),-0.06,0.42,5.73,10.96,13.29,24.29,3.01,8.47,—,—,7.32
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
