,Values
NAV,"54,495.90"
Open Price,"54,515.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"624.0 / 22,503.7"
Day Range,"54,515.00 – 54,730.00"
Year Range,"50,285.00 – 54,730.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.170%
Total Assets,37.1 Bil
