,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,4.88
Fund (NAV),—,—,—,—,—,—,—,—,—,—,4.73
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,1.77
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,-0.41
Percentile Rank,—,—,—,—,—,—,—,—,—,—,15
# of Funds in Category,—,—,—,—,—,—,—,—,—,545,717
