,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.32,0.63,2.34,3.88,5.31,8.82,—,—,—,—,—
Total Return % (NAV),-0.02,0.13,1.96,3.83,5.05,8.55,—,—,—,—,8.36
+/- Category (NAV),-0.02,0.06,0.92,1.77,1.94,3.84,—,—,—,—,—
+/- Index (NAV),-0.32,-0.46,-0.36,-0.16,-0.56,0.15,—,—,—,—,—
