,Values
NAV,"11,945.56"
Open Price,"11,965.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,45.0 / 38.1
Day Range,"11,960.00 – 11,970.00"
Year Range,"11,690.00 – 14,050.00"
SEC Yield ,—
12-Month Yield ,1.36%
Premium ,—
Expense Ratio,0.210%
Total Assets,82.4 Bil
