Sectors,Fund %,Category %
Basic Materials,7.63,8.70
Consumer Cyclical,10.48,13.65
Financial Services,12.84,11.56
Real Estate,0.00,0.29
Communication Services,0.99,2.34
Energy,2.13,1.96
Industrials,7.98,10.46
Technology,45.04,38.20
Consumer Defensive,5.93,6.64
Healthcare,5.83,4.97
Utilities,1.14,1.23
