,Values
Sustainability Rate,Low
Percent Rank in Global Category,94%
Historical Sustainability Score,41.55
Global Category,Technology Sector Equity
Portfolio ESG,51.07
Controversy Deduction,8.81
Sustainability Score,42.26
Sustainability Mandate,No
