,Fund,Cat. Average,Index
Price/Earnings ,32.73,17.17,20.64
Price/Book ,7.01,2.04,3.84
Price/Sales ,4.33,1.37,2.36
Price/Cash Flow ,15.58,7.78,11.93
Dividend Yield % ,0.24,1.69,1.48
Long-Term Earnings % ,16.43,8.11,10.45
Historical Earnings % ,33.49,12.12,18.19
Sales Growth % ,28.91,7.65,8.61
Cash-Flow Growth % ,36.10,13.49,16.51
Book-Value Growth % ,20.98,7.62,8.68
