,Values
NAV,"10,429.44"
Open Price,"10,465.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,382.0 / 9,296.0"
Day Range,"10,335.00 – 10,465.00"
Year Range,"9,515.00 – 11,945.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.490%
Total Assets,5.1 Bil
