,Values
NAV,"9,834.08"
Open Price,"9,815.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"5,862.0 / 9,971.0"
Day Range,"9,730.00 – 9,815.00"
Year Range,"9,290.00 – 11,870.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.560%
Total Assets,29.1 Bil
