,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,-16.17,5.74,36.84,-16.23,2.19
Fund (NAV),—,—,—,—,—,—,-16.36,5.33,36.09,-16.21,1.81
+/ Category (NAV),—,—,—,—,—,—,-6.88,0.87,12.57,-1.65,-5.15
+/- Index (Price),—,—,—,—,—,—,-2.68,-5.23,1.33,-2.71,0.82
Percentile Rank,—,—,—,—,—,—,83,52,1,82,80
# of Funds in Category,—,—,—,—,—,55,56,32,35,97,138
