,Fund,Category,Index
U.S.Stock,0.31,0.51,0.16
Non-U.S.Stock,99.69,88.20,99.75
Bonds,0.00,0.29,0.00
Other,0.00,0.12,0.09
Cash,0.00,22.04,0.00
Not Classified,0.00,0.14,0.01
