,Fund,Cat. Average,Index
Price/Earnings ,12.25,11.90,12.02
Price/Book ,1.45,1.47,1.37
Price/Sales ,1.14,1.11,1.05
Price/Cash Flow ,4.52,4.74,4.39
Dividend Yield % ,3.51,3.66,3.65
Long-Term Earnings % ,10.94,8.45,8.61
Historical Earnings % ,10.85,10.98,10.87
Sales Growth % ,7.71,7.45,4.56
Cash-Flow Growth % ,9.89,8.43,5.49
Book-Value Growth % ,7.38,7.18,4.81
